,Rx_Tx,state_1_rssi(dBm),state_2_rssi(dBm),state_3_rssi(dBm),state_4_rssi(dBm),state_5_rssi(dBm),state_6_rssi(dBm),state_7_rssi(dBm)
0,1_2,-70.06451612903226,-68.18805970149253,-63.05106888361045,-61.881230116648986,-65.02209131075111,-65.61481481481482,-69.48753462603878
1,1_7,-68.61538461538461,-68.0,-62.83333333333334,-66.0,-71.19354838709677,-72.0,-71.81081081081079
2,1_8,-70.07142857142857,-68.81818181818181,-68.93103448275862,-64.625,-66.3859649122807,-70.10144927536231,-70.87142857142857
3,1_9,-63.0,-70.76923076923076,-67.35294117647061,-60.12903225806453,-62.8918918918919,-67.85185185185185,-70.07317073170732
4,1_18,-72.11290322580646,-68.69444444444444,-65.5,-61.8,-69.39285714285714,-59.914285714285704,-60.05405405405406
5,2_2,-70.43243243243244,-66.33589743589744,-62.906398104265406,-62.00132802124834,-64.93379310344828,-67.30114942528736,-67.46113989637306
6,2_8,-66.57377049180327,-64.42105263157895,-68.03846153846153,-65.91891891891892,-67.65060240963855,-71.67307692307692,-71.45454545454545
7,2_9,-67.49230769230769,-68.0909090909091,-66.61764705882354,-61.7,-63.805555555555564,-69.75,-71.77192982456141
8,2_18,-72.0,-70.52941176470588,-70.33333333333333,-70.0,-61.16470588235293,-55.0,-58.717171717171716
9,3_2,-70.34375,-65.7607843137255,-61.69293924466338,-64.64039955604883,-66.09539473684211,-55.504,-55.78947368421053
10,4_2,-61.42857142857143,-65.8360655737705,-64.65564424173319,-65.96438356164384,-66.32848232848232,-53.9360465116279,-54.84967320261438
11,5_2,-60.225806451612904,-64.46166394779772,-64.61485714285715,-67.37688442211055,-59.21230769230769,-53.658823529411755,-55.41666666666666
12,6_2,-61.70212765957447,-65.3094890510949,-65.23536299765809,-61.06956521739131,-56.50666666666667,-54.462686567164184,-56.778481012658226
13,6_11,-72.8,-69.52380952380952,-65.5340909090909,-59.21212121212121,-61.95283018867924,-59.56962025316456,-58.65591397849462
14,7_2,-61.42372881355932,-65.81063122923588,-66.29364005412721,-63.07258064516129,-59.867403314917134,-62.21119592875318,-60.248175182481745
15,7_11,-71.8913043478261,-68.03157894736842,-63.51351351351353,-58.81632653061224,-60.98823529411764,-60.0952380952381,-59.3206106870229
16,7_12,-72.13636363636364,-68.84615384615384,-65.35135135135134,-62.7,-63.77922077922078,-55.405405405405396,-57.14393939393939
17,8_2,-61.29411764705882,-66.07779171894605,-65.90348525469169,-63.605449041372346,-63.72050561797754,-65.42034548944338,-68.96894409937889
18,8_11,-69.08510638297872,-65.02352941176471,-61.50980392156863,-57.89830508474577,-61.39473684210525,-63.21739130434783,-63.54347826086956
19,8_12,-69.72916666666667,-65.9367088607595,-63.70588235294117,-61.36363636363637,-63.671875,-57.779411764705884,-60.41052631578948
20,8_13,-71.96,-69.26136363636364,-68.97872340425532,-67.75409836065573,-58.46753246753247,-55.90769230769231,-60.2183908045977
21,9_2,-63.41666666666666,-67.54084967320262,-65.2051282051282,-61.658823529411755,-64.11174785100286,-66.3531598513011,-69.79545454545455
22,9_7,-59.0,-68.88235294117646,-69.61538461538461,-68.1842105263158,-71.78571428571429,-72.46153846153847,-72.02272727272727
23,9_11,-67.87179487179488,-64.14117647058822,-61.27777777777778,-58.544303797468345,-63.7375,-69.19672131147541,-67.36619718309859
24,9_12,-68.47727272727273,-65.125,-63.39622641509435,-62.10144927536232,-65.3896103896104,-63.620689655172406,-64.44285714285714
25,9_13,-70.85714285714286,-68.57971014492753,-68.6896551724138,-68.42105263157895,-60.151898734177216,-62.12962962962962,-64.04109589041096
26,9_18,-72.05,-67.93877551020408,-62.44680851063829,-55.5,-54.492957746478865,-62.9344262295082,-69.05714285714286
27,10_2,-66.71428571428571,-65.71662763466043,-63.36268068331143,-60.85202312138728,-63.94319682959049,-67.53171641791045,-69.02511415525115
28,10_12,-67.93617021276596,-64.74193548387096,-63.95454545454545,-64.28181818181818,-68.53658536585365,-70.0,-59.48648648648647
29,10_13,-70.32608695652173,-68.2,-69.33333333333333,-70.07692307692308,-63.82758620689656,-68.38983050847457,-58.65625
30,10_18,-71.75,-67.5179856115108,-63.17857142857143,-57.63478260869565,-57.984375,-69.08474576271186,-64.01492537313433
